REF DU MUSEE,NOM DU MUSEE,Année,REGION,VILLE,PAYANT,GRATUIT,TOTAL,ID MUSEOFILE,NOMDEP,Identifiant Muséofile,Adresse,Code Postal,URL,Latitude,Longitude,geolocalisation
7510307,Musée Carnavalet-Histoire de Paris,2020,ILE-DE-France,PARIS,0,1324,1324,M1104,PARIS,M1104,"23, rue de Sévigné",75003,www.carnavalet.paris.fr/,48.85699,2.362856,"48.85699, 2.362856"
7511402,Les Catacombes,2020,ILE-DE-France,PARIS,171689,30776,202465,M1104,PARIS,M1104,"23, rue de Sévigné",75003,www.carnavalet.paris.fr/,48.85699,2.362856,"48.85699, 2.362856"
7510307,Musée Carnavalet-Histoire de Paris,2019,ILE-DE-France,PARIS,0,7870,7870,M1104,PARIS,M1104,"23, rue de Sévigné",75003,www.carnavalet.paris.fr/,48.85699,2.362856,"48.85699, 2.362856"
7510403,Crypte Archéologique du Parvis Notre-Dame,2020,ILE-DE-France,PARIS,4618,5682,10300,M1104,PARIS,M1104,"23, rue de Sévigné",75003,www.carnavalet.paris.fr/,48.85699,2.362856,"48.85699, 2.362856"
7510808,"Petit Palais, Musée des Beaux-Arts de la ville de Paris",2020,ILE-DE-France,PARIS,87594,262947,350541,M1111,PARIS,M1111,Avenue Winston-Churchill,75008,www.petitpalais.paris.fr/,48.86609,2.313763,"48.86609, 2.313763"
7510808,"Petit Palais, Musée des Beaux-Arts de la ville de Paris",2019,ILE-DE-France,PARIS,204376,745912,950288,M1111,PARIS,M1111,Avenue Winston-Churchill,75008,www.petitpalais.paris.fr/,48.86609,2.313763,"48.86609, 2.313763"
7510902,Musée de la Franc-Maçonnerie,2020,ILE-DE-France,PARIS,4269,2027,6296,M0366,PARIS,M0366,16 rue Cadet,75009,www.museefm.org/,48.874991,2.343088,"48.874991, 2.343088"
7510902,Musée de la Franc-Maçonnerie,2019,ILE-DE-France,PARIS,13546,4460,18006,M0366,PARIS,M0366,16 rue Cadet,75009,www.museefm.org/,48.874991,2.343088,"48.874991, 2.343088"
7510709,Musée du Quai Branly - Jacques Chirac,2020,ILE-DE-France,PARIS,265767,173037,438804,M5055,PARIS,M5055,37 quai Branly,75007,www.quaibranly.fr/fr/,48.861511,2.29771,"48.861511, 2.29771"
7510709,Musée du Quai Branly - Jacques Chirac,2019,ILE-DE-France,PARIS,526163,586260,1112423,M5055,PARIS,M5055,37 quai Branly,75007,www.quaibranly.fr/fr/,48.861511,2.29771,"48.861511, 2.29771"
